FIPStxt,POP_ESTIMATE_2019,Deaths_2019
1001,55869,541.0
1003,223234,2326.0
1005,24686,312.0
1007,22394,252.0
1009,57826,657.0
1011,10101,109.0
1013,19448,272.0
1015,113605,1532.0
1017,33254,441.0
1019,26196,343.0
1021,44428,503.0
1023,12589,176.0
1025,23622,324.0
1027,13235,187.0
1029,14910,189.0
1031,52342,570.0
1033,55241,719.0
1035,12067,182.0
1037,10663,122.0
1039,37049,543.0
1041,13772,179.0
1043,83768,1050.0
1045,49172,546.0
1047,37196,542.0
1049,71513,819.0
1051,81209,821.0
1053,36633,474.0
1055,102268,1487.0
1057,16302,225.0
1059,31362,367.0
1061,26271,365.0
1063,8111,93.0
1065,14651,181.0
1067,17205,213.0
1069,105882,1137.0
1071,51626,675.0
1073,658573,7343.0
1075,13805,172.0
1077,92729,1136.0
1079,32924,428.0
1081,164542,1133.0
1083,98915,864.0
1085,9726,141.0
1087,18068,264.0
1089,372909,3305.0
1091,18863,276.0
1093,29709,405.0
1095,96774,1155.0
1097,413210,4576.0
1099,20733,278.0
1101,226486,2164.0
1103,119679,1316.0
1105,8923,121.0
1107,19930,235.0
1109,33114,339.0
1111,22722,285.0
1113,57961,608.0
1115,89512,975.0
1117,217702,1626.0
1119,12427,163.0
1121,79978,1044.0
1123,40367,534.0
1125,209355,1872.0
1127,63521,969.0
1129,16326,191.0
1131,10373,162.0
1133,23629,325.0
2013,3337,9.0
2016,5634,7.0
2020,288000,1847.0
2050,18386,150.0
2060,836,7.0
2068,2097,9.0
2070,4916,42.0
2090,96849,506.0
2100,2530,7.0
2105,2148,18.0
2110,31974,177.0
2122,58708,541.0
2130,13901,88.0
2150,12998,53.0
2158,8314,103.0
2164,1592,10.0
2170,108317,646.0
2180,10004,101.0
2185,9832,57.0
2188,7621,90.0
2195,3266,29.0
2198,6203,53.0
2220,8493,58.0
2230,1183,14.0
2240,6893,35.0
2261,9202,58.0
2275,2502,34.0
2282,579,1.0
2290,5230,69.0
4001,71887,702.0
4003,125922,1312.0
4005,143476,901.0
4007,54018,811.0
4009,38837,323.0
4011,9498,49.0
4012,21108,310.0
4013,4485414,33023.0
4015,212181,3375.0
4017,110924,1117.0
4019,1047279,10199.0
4021,462789,3330.0
4023,46498,316.0
4025,235099,3042.0
4027,213787,1713.0
5001,17486,216.0
5003,19657,251.0
5005,41932,695.0
5007,279141,1820.0
5009,37432,460.0
5011,10763,130.0
5013,5189,48.0
5015,28380,305.0
5017,10118,150.0
5019,22320,241.0
5021,14551,197.0
5023,24919,385.0
5025,7956,88.0
5027,23457,279.0
5029,20846,213.0
5031,110332,1030.0
5033,63257,658.0
5035,47955,534.0
5037,16419,207.0
