fips_txt,Unemployed_2019,Unemployment_rate_2019
1001,714.0,2.7
1003,2653.0,2.7
1005,324.0,3.8
1007,266.0,3.1
1009,676.0,2.7
1011,175.0,3.6
1013,338.0,3.6
1015,1635.0,3.5
1017,462.0,2.9
1019,338.0,2.9
1021,538.0,2.7
1023,218.0,4.7
1025,436.0,5.8
1027,183.0,3.0
1029,183.0,3.2
1031,623.0,2.9
1033,885.0,3.7
1035,180.0,4.0
1037,135.0,3.0
1039,534.0,3.4
1041,183.0,2.8
1043,998.0,2.6
1045,642.0,3.1
1047,807.0,5.5
1049,870.0,2.8
1051,979.0,2.6
1053,514.0,3.5
1055,1428.0,3.3
1057,207.0,3.1
1059,405.0,2.8
1061,320.0,2.9
1063,161.0,5.6
1065,241.0,3.9
1067,247.0,3.6
1069,1390.0,3.0
1071,772.0,3.3
1073,9091.0,2.9
1075,179.0,3.1
1077,1388.0,3.3
1079,447.0,3.1
1081,2080.0,2.7
1083,1154.0,2.6
1085,204.0,5.7
1087,337.0,4.3
1089,4714.0,2.5
1091,271.0,3.5
1093,446.0,3.4
1095,1086.0,2.5
1097,7024.0,3.7
1099,356.0,4.9
1101,3260.0,3.1
1103,1500.0,2.6
1105,178.0,5.2
1107,276.0,3.5
1109,504.0,3.3
1111,292.0,3.0
1113,698.0,2.9
1115,1091.0,2.7
1117,2525.0,2.2
1119,219.0,4.5
1121,1213.0,3.4
1123,556.0,3.0
1125,2842.0,2.7
1127,830.0,3.3
1129,313.0,4.6
1131,195.0,7.1
1133,336.0,3.3
2013,68.0,2.8
2016,129.0,3.6
2020,7423.0,5.1
2050,905.0,12.9
2060,27.0,6.1
2068,88.0,8.5
2070,157.0,8.1
2090,2404.0,5.4
2100,99.0,8.9
2105,132.0,11.4
2110,756.0,4.4
2122,1778.0,6.8
2130,428.0,6.2
2150,330.0,5.6
2158,518.0,19.3
2164,70.0,9.9
2170,3240.0,6.9
2180,440.0,10.9
2185,224.0,6.4
2188,411.0,14.0
2195,121.0,8.7
2198,289.0,10.1
2220,181.0,4.2
2230,76.0,9.2
2240,252.0,9.0
2261,363.0,7.5
2275,77.0,7.7
2282,19.0,7.7
2290,345.0,14.0
4001,2019.0,9.9
4003,2899.0,5.7
4005,4301.0,5.5
4007,1192.0,5.5
4009,743.0,4.8
4011,178.0,3.9
4012,545.0,5.8
4013,92847.0,4.0
4015,4977.0,5.7
4017,3006.0,7.3
4019,22075.0,4.4
4021,9171.0,4.9
4023,1673.0,8.5
4025,4742.0,4.4
4027,16387.0,16.4
5001,286.0,3.0
5003,418.0,5.4
5005,650.0,4.0
5007,3601.0,2.6
5009,511.0,3.2
5011,185.0,4.1
5013,108.0,4.4
5015,400.0,3.1
5017,228.0,6.9
5019,368.0,3.8
5021,278.0,4.9
5023,418.0,4.5
5025,127.0,3.9
5027,410.0,4.5
5029,359.0,4.3
5031,1555.0,2.8
5033,894.0,3.3
5035,910.0,4.2
5037,314.0,4.2
5039,134.0,4.7
5041,241.0,4.5
5043,408.0,5.2
5045,1875.0,3.0
5047,252.0,3.4
5049,199.0,4.0
5051,1537.0,3.7
5053,267.0,3.2
5055,699.0,3.5
5057,380.0,3.8
5059,510.0,3.6
5061,186.0,3.3
5063,659.0,4.0
5065,269.0,5.5
5067,380.0,6.5
5069,1520.0,5.5
5071,469.0,4.6
5073,115.0,4.7
5075,284.0,4.2
5077,127.0,4.5
5079,173.0,4.4
5081,238.0,4.3
5083,373.0,4.3
5085,1109.0,3.2
5087,189.0,2.5
5089,267.0,4.0
5091,809.0,4.1
5093,891.0,5.1
5095,119.0,4.3
5097,138.0,4.6
5099,145.0,4.0
5101,117.0,3.5
5103,508.0,5.2
5105,175.0,4.1
5107,383.0,6.0
5109,164.0,3.9
5111,350.0,3.4
5113,339.0,4.2
5115,1251.0,4.3
5117,156.0,4.4
5119,6472.0,3.4
5121,284.0,3.9
5123,425.0,5.2
5125,1664.0,2.8
5127,147.0,3.4
5129,133.0,4.6
5131,1864.0,3.3
5133,265.0,4.8
5135,285.0,5.0
5137,223.0,4.7
5139,829.0,5.2
5141,286.0,5.0
5143,3053.0,2.4
5145,1519.0,4.5
5147,146.0,5.3
5149,336.0,4.0
6001,24671.0,2.9
6003,28.0,5.1
6005,572.0,3.8
6007,5080.0,5.1
6009,812.0,3.8
6011,1407.0,12.8
6013,17261.0,3.1
6015,555.0,5.7
6017,3237.0,3.5
6019,32668.0,7.2
6021,796.0,6.1
6023,2253.0,3.6
6025,13080.0,18.3
6027,310.0,3.5
6029,30216.0,7.7
6031,4566.0,7.9
6033,1471.0,5.0
6035,453.0,4.6
6037,227288.0,4.4
6039,4294.0,6.9
6041,3193.0,2.3
6043,350.0,4.6
6045,1546.0,4.0
6047,9360.0,8.1
6049,224.0,7.1
6051,313.0,3.7
6053,13799.0,6.2
6055,2104.0,2.8
6057,1617.0,3.3
6059,45087.0,2.8
6061,5839.0,3.1
6063,607.0,7.7
6065,46151.0,4.2
6067,26096.0,3.7
6069,1587.0,5.0
6071,37010.0,3.8
6073,50643.0,3.2
6075,12774.0,2.2
6077,19223.0,5.9
6079,4017.0,2.9
6081,9397.0,2.0
6083,8039.0,3.7
6085,26196.0,2.5
6087,6747.0,4.7
6089,3475.0,4.7
6091,71.0,5.4
6093,1118.0,6.5
6095,7855.0,3.7
6097,6966.0,2.7
6099,14701.0,6.0
6101,3345.0,7.3
6103,1422.0,5.5
6105,257.0,5.5
6107,19627.0,9.6
6109,951.0,4.5
6111,15221.0,3.6
6113,4438.0,4.1
6115,1815.0,6.1
8001,8065.0,2.9
8003,313.0,3.6
8005,9930.0,2.7
8007,220.0,3.2
8009,37.0,1.7
8011,56.0,2.9
8013,4640.0,2.4
8014,992.0,2.4
8015,235.0,2.4
8017,19.0,1.6
8019,150.0,2.5
8021,152.0,3.6
8023,74.0,3.9
8025,65.0,4.3
8027,63.0,3.0
8029,484.0,3.3
8031,11348.0,2.7
8033,35.0,3.0
8035,4662.0,2.4
8037,832.0,2.2
8039,335.0,2.2
8041,11282.0,3.3
8043,703.0,4.6
8045,889.0,2.7
8047,88.0,2.3
8049,213.0,2.1
8051,248.0,2.1
8053,16.0,3.7
8055,146.0,5.7
8057,23.0,2.3
8059,8598.0,2.5
8061,15.0,1.6
8063,73.0,1.7
8065,116.0,2.3
8067,810.0,2.5
8069,4859.0,2.4
8071,258.0,3.9
8073,56.0,2.3
8075,263.0,2.4
8077,2628.0,3.4
8079,12.0,2.3
8081,255.0,3.4
8083,552.0,4.2
8085,683.0,3.1
8087,436.0,2.6
8089,345.0,4.1
8091,71.0,2.9
8093,282.0,2.5
8095,42.0,1.6
8097,354.0,3.1
8099,168.0,2.6
8101,3129.0,4.1
8103,111.0,3.7
8105,226.0,4.1
8107,359.0,2.2
8109,144.0,4.0
8111,17.0,3.0
8113,163.0,2.8
8115,25.0,2.0
8117,419.0,1.8
8119,396.0,3.1
8121,59.0,2.0
8123,4331.0,2.5
8125,98.0,1.6
9001,17476.0,3.6
9003,18770.0,3.9
9005,3639.0,3.5
9007,2993.0,3.2
9009,18099.0,3.9
9011,4963.0,3.6
9013,2840.0,3.3
9015,2584.0,4.0
10001,3314.0,4.2
10003,11048.0,3.7
10005,4058.0,3.8
11001,22487.0,5.5
12001,4105.0,2.9
12003,368.0,3.1
12005,3255.0,3.9
12007,347.0,3.1
12009,9062.0,3.2
12011,31706.0,3.0
12013,197.0,4.1
12015,2626.0,3.7
12017,2281.0,4.8
12019,3251.0,3.0
12021,5586.0,3.1
12023,966.0,3.2
12027,499.0,3.5
12029,222.0,3.8
12031,16056.0,3.3
12033,4666.0,3.2
12035,1795.0,3.8
12037,164.0,3.5
12039,772.0,4.1
12041,245.0,3.4
12043,211.0,3.9
12045,277.0,4.8
12047,178.0,4.1
12049,428.0,5.0
12051,907.0,5.8
12053,3017.0,4.2
12055,1642.0,4.5
12057,23152.0,3.1
12059,246.0,3.5
12061,2508.0,3.8
12063,623.0,3.6
12065,187.0,3.3
12067,86.0,3.0
12069,5108.0,3.2
12071,10911.0,3.1
12073,4780.0,3.1
12075,621.0,3.7
12077,94.0,3.6
12079,281.0,3.8
12081,5611.0,3.1
12083,5289.0,3.8
12085,2333.0,3.1
12086,33065.0,2.4
12087,963.0,2.1
12089,1210.0,2.9
12091,2598.0,2.7
12093,617.0,3.5
12095,22173.0,2.9
12097,6046.0,3.3
12099,23969.0,3.3
12101,8310.0,3.5
12103,14713.0,3.0
12105,11280.0,3.7
12107,1150.0,4.3
12109,3494.0,2.6
12111,5722.0,3.9
12113,2455.0,3.0
12115,5849.0,3.1
12117,7444.0,2.9
12119,1502.0,4.6
12121,619.0,3.4
12123,295.0,3.6
12125,137.0,3.0
12127,8767.0,3.4
12129,434.0,2.9
12131,892.0,2.8
12133,330.0,3.4
13001,361.0,3.9
13003,143.0,3.0
13005,176.0,3.5
13007,55.0,4.7
13009,738.0,4.2
13011,264.0,2.7
13013,1138.0,2.8
13015,1654.0,3.3
13017,295.0,5.5
13019,298.0,4.0
13021,2647.0,3.9
13023,228.0,5.0
13025,294.0,4.1
13027,233.0,3.4
13029,548.0,3.0
13031,1370.0,3.7
13033,465.0,5.1
13035,360.0,3.4
13037,81.0,3.6
13039,756.0,3.6
13043,165.0,3.0
13045,1885.0,3.4
13047,999.0,3.0
13049,181.0,3.8
13051,4605.0,3.3
13053,91.0,4.6
13055,512.0,5.0
13057,3696.0,2.7
13059,2099.0,3.6
13061,61.0,6.9
13063,5816.0,4.2
13065,104.0,3.9
13067,12575.0,3.0
13069,731.0,3.9
13071,675.0,3.2
13073,2274.0,3.0
13075,270.0,3.4
13077,2184.0,2.9
13079,201.0,3.6
13081,368.0,3.9
13083,268.0,3.3
13085,349.0,2.8
13087,439.0,3.8
13089,13654.0,3.4
13091,381.0,5.4
13093,191.0,3.8
13095,1818.0,4.7
13097,2577.0,3.5
13099,171.0,3.9
13101,53.0,2.8
13103,889.0,2.9
13105,306.0,4.0
13107,440.0,5.3
13109,164.0,3.4
13111,380.0,3.3
13113,1729.0,3.0
13115,1689.0,3.8
13117,3339.0,2.7
13119,350.0,3.5
13121,19349.0,3.5
13123,417.0,3.5
13125,47.0,3.7
13127,1306.0,3.3
13129,951.0,3.4
13131,356.0,3.4
13133,270.0,3.9
13135,14728.0,3.0
13137,658.0,3.5
13139,2839.0,2.8
13141,135.0,5.5
13143,416.0,3.3
13145,510.0,3.1
13147,400.0,3.5
13149,175.0,3.3
13151,4086.0,3.5
13153,2340.0,3.3
13155,156.0,4.7
13157,968.0,2.7
13159,213.0,3.1
13161,279.0,4.6
13163,312.0,4.7
13165,160.0,5.1
13167,147.0,3.6
13169,434.0,3.2
13171,318.0,3.9
13173,147.0,3.9
13175,873.0,4.6
13177,449.0,3.1
13179,977.0,3.7
13181,137.0,3.9
13183,296.0,3.6
13185,1804.0,3.5
13187,519.0,3.1
13189,450.0,5.1
13191,219.0,3.6
13193,217.0,4.6
13195,405.0,3.0
13197,140.0,4.2
13199,401.0,4.5
13201,90.0,3.3
13205,385.0,4.6
13207,421.0,3.2
13209,200.0,5.3
13211,287.0,3.1
13213,780.0,5.0
13215,3513.0,4.5
13217,2010.0,3.9
13219,496.0,2.5
13221,223.0,3.2
13223,2519.0,2.9
13225,483.0,4.1
13227,455.0,3.0
13229,294.0,3.4
13231,268.0,3.0
13233,668.0,3.6
13235,156.0,3.8
13237,354.0,4.3
13239,40.0,5.0
13241,252.0,3.5
13243,122.0,4.8
13245,3843.0,4.5
13247,1690.0,3.8
13249,85.0,3.9
13251,275.0,5.4
13253,134.0,4.4
13255,1145.0,4.0
13257,412.0,3.9
13259,100.0,4.2
13261,609.0,4.8
13263,126.0,4.5
13265,28.0,4.9
13267,366.0,3.8
13269,124.0,4.0
13271,391.0,9.5
13273,177.0,5.0
13275,663.0,4.0
13277,663.0,3.4
13279,576.0,4.9
13281,188.0,4.8
13283,139.0,5.3
13285,1187.0,3.2
13287,120.0,3.8
13289,156.0,5.4
13291,321.0,3.1
13293,404.0,3.6
